,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
38,ACHC,59.77,61.58,68.65,48.62,375.58k,418.45k,101.89%,2.79%,5.58%,-6.99%,-4.76%,23.06%,75.14,60.72,66.13,44.51,Healthcare
39,AXDX,5.48,6.80,15.60,4.01,414.66k,448.02k,39.43%,-4.82%,-0.40%,-16.97%,-38.71%,-32.51%,9.33,5.02,-8.99,-21.67,Healthcare
40,ACCL,,,,,,,,,,,,,,,,,
41,AUSA,,,,,,,,,,,,,,,,,
42,LEND,,,,,,,,,,,,,,,,,
43,ENERU,10.20,10.20,11.40,10.05,3.3k,253.36k,0.00%,0.39%,0.79%,-,-,-,-,10.25,,,Financial Services
44,ACBAU,10.49,10.43,11.31,9.76,,22,23.97%,,,,,,,,,,Financial Services
45,ACRX,0.7094,1.1206,2.9400,0.4600,1.62M,1.04M,34.86%,-16.01%,-20.43%,-51.97%,-64.15%,-58.08%,4.17,0.51,-8.38,-9.85,Healthcare
46,ACER,2.2694,2.6193,5.3900,1.6800,44.34k,304.99k,30.30%,2.68%,8.49%,-10.16%,-19.58%,-7.26%,10.00,2.35,-3.27,-3.07,Healthcare
47,AVHI,9.86,9.86,9.90,9.82,9.58k,67.08k,,,,,,,,,,,Financial Services
48,ACHN,0.4196,0.4214,0.5200,0.0600,105,1.74k,,,,,,,,,,,Communication Services
49,ACKIT,10.08,10.00,10.44,9.84,100.94k,23.36k,9.62%,0.00%,0.10%,1.10%,1.92%,-,-,10.12,-0.24,-0.35,
50,ACRS,14.66,18.34,30.38,5.65,323.89k,385.54k,93.62%,0.00%,18.26%,-19.39%,-17.37%,121.87%,34.80,14.74,-21.15,-18.16,Healthcare
51,ACOR,3.2498,4.0741,8.6600,2.2500,115.21k,150.53k,28.62%,-5.74%,-14.50%,-50.96%,-51.78%,-45.01%,10.00,2.31,-27.07,-22.86,Healthcare
52,SQZZ,,,,,,,,,,,,,,,,,
53,ATVI,66.39,82.83,104.53,56.40,11.12M,11.33M,87.89%,5.61%,11.36%,-13.21%,-29.63%,-26.50%,92.47,67.23,639.00,876.00,Communication Services
54,ATY,4.3334,8.2331,26.1700,2.9300,317.06k,397.06k,10.86%,0.57%,-1.66%,-45.22%,-64.32%,-71.91%,-,3.85,,,Communication Services
55,ACXP,4.7952,5.0210,8.7400,3.7100,38.63k,54.18k,0.35%,1.33%,-9.88%,-12.64%,-28.53%,-,12.00,4.54,-4.64,-4.00,Healthcare
56,ADGI,25.32,30.65,78.82,5.57,32.72M,7.15M,,-26.43%,-83.84%,-81.33%,-,-,10.00,7.85,-60.38,-44.67,Healthcare
57,ADMP,0.8608,0.9415,2.3400,0.4900,1.3M,6.13M,11.05%,-10.10%,-26.50%,-40.28%,-47.87%,15.47%,-,0.58,-12.36,-9.31,Healthcare
58,ADPT,30.25,35.57,71.25,24.01,751.71k,693.62k,82.98%,-10.60%,-1.54%,-19.16%,-35.78%,-55.78%,56.00,28.05,-55.90,-49.30,Healthcare
59,ADCT,24.09,24.48,34.48,18.33,180.89k,159.38k,43.36%,0.49%,-6.06%,-23.81%,-16.02%,-37.19%,43.71,21.15,-71.55,-72.57,Healthcare
60,ADEX,9.81,9.72,10.24,9.44,78.77k,155.12k,53.06%,-0.15%,0.11%,1.76%,1.97%,-,-,9.86,-0.42,-0.12,Financial Services
61,ADIL,2.9946,2.9545,5.0800,1.6800,135.84k,245.25k,9.28%,-11.58%,-1.56%,-39.71%,-1.18%,46.51%,10.67,2.62,-4.32,-4.44,Healthcare
62,ADMA,1.3576,1.5163,3.1110,1.0100,2.63M,2.56M,41.88%,0.00%,-10.34%,15.04%,-18.75%,-33.67%,5.58,1.33,-17.71,-18.91,Healthcare
63,ADRO,,,,,,,,,,,,,,,,,
64,ABAT,,,,,,,,,,,,,,,,,
65,ADES,6.76,6.52,8.41,4.60,77.12k,121.06k,50.36%,1.23%,0.92%,1.86%,-11.34%,21.22%,-,6.62,24.25,16.59,Industrials
66,AITPU,,,,,,,,,,,,,,,,,
67,ADVNA,,,,,,,,,,,,,,,,,
68,ADV,8.13,10.07,13.78,6.94,455.49k,369.21k,27.29%,-1.56%,-2.45%,-11.06%,-29.94%,-42.47%,12.33,7.73,23.31,6.12,Communication Services
69,ADXS,0.3924,0.4804,1.5700,0.1210,5.5M,5M,11.51%,-50.05%,-63.27%,-70.49%,-68.30%,-57.39%,2.25,0.15,-3.33,-5.11,Healthcare
70,ADVM,1.9820,3.6903,14.7900,1.6900,1.28M,1.97M,73.77%,-4.81%,-4.81%,-19.09%,-49.14%,-84.99%,4.25,1.86,-38.36,-44.33,Healthcare
71,AGLE,5.9682,6.9309,8.7900,3.4700,253.06k,288.99k,92.41%,3.18%,-30.59%,-45.62%,-39.37%,-47.51%,13.62,4.45,-20.31,-6.83,Healthcare
72,AMTX,17.52,15.24,27.44,2.54,1M,927.94k,66.96%,-5.56%,-34.35%,-26.10%,7.97%,360.31%,29.86,12.51,-17.60,-10.56,Energy
73,ARBG,9.79,9.76,10.75,9.43,15.68k,47.05k,83.26%,,,,,,,,,,Financial Services
74,AERI,10.12,14.38,21.30,7.04,1.45M,1.07M,106.61%,-10.74%,-25.29%,-36.84%,-55.34%,-46.44%,23.12,7.44,-39.69,-38.69,Healthcare
75,AERC,22.91,22.91,117.35,8.22,7.77M,5.54M,0.00%,-3.36%,-90.21%,-,-,-,-,11.48,,,Industrials
76,ARPO,,,,,,,,,,,,,,,,,
77,AEZS,0.5066,0.7585,3.6200,0.3600,1.17M,2M,3.91%,-9.09%,-23.54%,-38.02%,-57.81%,-8.03%,-,0.38,,,Healthcare
78,AEMD,2.7198,3.2566,12.4900,1.4500,181.71k,275.5k,18.14%,-2.48%,-23.35%,-49.10%,-59.96%,-5.74%,9.33,2.02,-2.01,-2.10,Healthcare
79,AFMD,6.28,7.34,11.74,4.78,838.41k,1.8M,64.62%,-4.01%,-20.38%,-5.81%,-35.18%,-7.08%,13.35,5.82,-17.09,-18.75,Healthcare
80,AFRM,132.63,90.99,176.65,46.50,9M,12.81M,71.95%,-5.16%,-25.63%,-12.85%,45.92%,-,155.79,104.18,-306.62,-153.21,Technology
81,AFYA,15.30,20.74,28.23,12.62,244.67k,171.68k,66.13%,9.06%,6.33%,-20.83%,-40.73%,-38.78%,24.58,15.59,53.03,17.24,Consumer Defensive
82,AGEN,3.6876,4.4592,6.7900,2.5000,5.79M,4.45M,50.46%,-3.98%,7.30%,-35.50%,-38.43%,6.62%,10.00,3.47,178.55,-83.29,Healthcare
83,AGGR,9.74,9.71,9.95,9.58,38.49k,30.13k,53.51%,0.00%,-0.21%,0.21%,-,-,-,9.74,,,Financial Services
84,AGIL,8.83,10.00,36.13,4.80,277.33k,119.27k,39.60%,-43.76%,-50.24%,-43.39%,-48.30%,-48.25%,-,5.23,-4.99,0.93,Technology
85,AGIO,39.39,48.37,62.16,29.21,831.08k,562.78k,108.24%,-2.34%,-4.90%,-26.92%,-38.72%,-23.79%,58.25,34.11,-88.77,-86.22,Healthcare
86,AGRI,2.2455,2.5059,8.4500,1.7510,103.6k,4.86M,,-7.11%,-8.84%,-14.78%,-,-,-,2.04,-1.82,-1.21,Consumer Defensive
87,AGFY,15.82,16.05,35.94,6.81,974.97k,832.73k,22.93%,-9.42%,-40.72%,-54.99%,-21.60%,-,34.00,9.51,-32.26,-21.62,Industrials
88,AHRNU,10.01,10.01,10.02,9.95,1.05M,1.05M,,,,,,,,,,,
89,AIRTP,24.48,24.93,27.69,23.51,3.44k,4.98k,0.70%,,,,,,,,,,Industrials
90,ATSG,26.90,26.08,32.43,21.42,313.46k,316.32k,80.69%,2.02%,11.42%,10.96%,26.39%,-4.30%,32.80,29.31,,,Industrials
91,AIRS,13.79,13.79,18.04,9.83,267.28k,487.14k,52.70%,22.63%,41.60%,-,-,-,20.00,17.64,,,Healthcare
92,AIRG,10.51,16.00,29.50,9.05,106.33k,72.81k,65.72%,-1.59%,10.30%,-14.92%,-49.13%,-40.67%,16.60,10.54,-3.07,-2.61,Technology
93,AIXG,,,,,,,,,,,,,,,,,
94,AKBA,2.7156,3.0044,5.1400,2.2000,4.64M,2.67M,58.63%,-8.03%,-12.60%,-19.93%,-39.58%,-15.81%,7.17,2.38,-59.54,-83.04,Healthcare
95,AKRO,22.35,24.67,34.87,17.66,194.47k,177.96k,87.67%,-0.65%,1.62%,-4.79%,-14.23%,-15.29%,47.00,21.89,-24.33,-28.93,Healthcare
96,AKTS,7.23,9.44,19.15,5.88,761k,609.13k,46.81%,0.14%,0.29%,-27.46%,-34.64%,-40.04%,14.88,6.99,-12.85,-10.12,Technology
97,AKU,1.7356,2.6003,4.1000,1.4800,105.23k,88.02k,32.38%,,,,,,,,,,Healthcare
98,APCS,,,,,,,,,,,,,,,,,
99,ALRM,82.35,83.40,108.67,73.61,244.5k,189.67k,97.43%,3.02%,5.07%,6.11%,-0.51%,-15.92%,111.29,84.65,13.54,14.74,Technology
100,AFBKW,,,,,,,,,,,,,,,,,
101,ALBO,25.83,30.32,43.41,20.30,221.85k,155.59k,88.56%,-0.80%,3.29%,-21.91%,-33.03%,-37.31%,75.33,24.25,57.09,-36.42,Healthcare
102,ALDX,7.5352,9.7575,15.9500,3.3700,3.32M,1.05M,71.30%,14.57%,-43.99%,-55.10%,-64.61%,-41.63%,20.40,4.17,-15.79,-14.94,Healthcare
103,ALRS,31.58,30.53,38.31,24.06,63.47k,28.76k,37.70%,2.92%,-3.61%,-2.05%,2.21%,8.25%,32.50,29.48,17.50,17.50,Financial Services
104,ASTL,10.73,10.40,13.65,8.73,490.66k,571.62k,17.75%,11.85%,-6.49%,-4.07%,3.59%,-,-,10.48,288.20,203.60,Basic Materials
105,ALGN,645.67,631.72,737.45,494.45,558.71k,618.84k,87.44%,3.92%,2.97%,-2.93%,6.93%,25.53%,752.91,666.62,180.97,199.71,Healthcare
106,ALGS,14.63,18.84,37.51,11.11,305.04k,178.64k,74.64%,1.52%,-20.67%,-20.51%,-40.89%,-54.08%,31.50,12.35,-33.12,-29.82,Healthcare
107,ALYA,2.6400,2.6199,5.4700,2.0100,9.43k,20.79k,41.69%,-2.39%,-2.78%,-9.93%,-12.81%,14.49%,-,2.56,,,Technology
108,ALKT,25.83,30.52,49.32,17.32,1.01M,462.01k,40.53%,0.65%,-28.44%,-18.54%,-43.71%,-,39.67,21.02,-11.22,-11.38,Technology
109,AIKI,0.7542,0.8884,2.5500,0.5700,1.62M,3.31M,18.13%,-11.35%,-22.50%,-29.46%,-39.91%,-8.70%,2.00,0.61,-0.05,-1.35,Healthcare
110,ALLK,79.53,92.48,157.98,8.44,20.15M,3.5M,99.64%,-87.82%,-86.99%,-90.28%,-87.96%,-92.81%,77.20,10.23,-62.73,-57.21,Healthcare
111,BIRD,18.88,18.88,32.44,12.56,1.53M,3.53M,,8.37%,-16.79%,-,-,-,24.36,15.53,,,Consumer Cyclical
112,ALGR,,,,,,,,,,,,,,,,,
113,ALNA,0.7662,1.0221,2.7800,0.5810,817.26k,3.25M,23.73%,-17.16%,-14.21%,-33.72%,-54.38%,-52.55%,6.12,0.62,-12.69,-13.97,Healthcare
114,AFOP,,,,,,,,,,,,,,,,,
115,AESE,1.9012,2.1529,4.3100,1.3780,333.65k,1.21M,21.19%,-10.99%,-1.16%,-2.86%,-26.09%,1.19%,-,1.71,74.30,-2.94,Communication Services
116,AHPI,5.60,5.87,16.41,3.45,1.4M,1.59M,4.79%,-10.79%,-15.00%,-11.85%,42.69%,16.90%,-,5.75,-0.98,1.55,Healthcare
117,ALVR,19.83,21.14,48.31,12.76,268.74k,185.34k,41.58%,-8.21%,-24.44%,-46.95%,-33.13%,-64.31%,42.75,13.75,-45.51,-37.59,Healthcare
118,ALOYD,,,,,,,,,,,,,,,,,
119,MDRX,16.27,16.20,19.01,13.05,1.69M,1.47M,113.77%,1.59%,9.27%,37.62%,0.00%,29.71%,18.64,18.46,16.18,21.93,Healthcare
120,AFAM,,,,,,,,,,,,,,,,,
121,ASPC,9.82,9.73,9.91,9.60,5.21k,61.56k,0.00%,,,,,,,,,,Financial Services
122,ALPA,9.73,9.72,10.08,9.62,2.21k,3.58k,31.22%,,,,,,,,,,Financial Services
123,ALSAU,10.19,10.19,10.35,10.06,46.66k,642.97k,,,,,,,,,,,Financial Services
124,AOSL,45.47,33.61,63.29,23.66,572.21k,448.9k,59.42%,17.73%,34.80%,98.88%,104.31%,171.85%,65.00,61.33,23.42,19.54,Technology
125,GOOG,"2,918.66","2,641.97","3,037.00","1,699.00",1.09M,1.12M,66.35%,1.58%,0.27%,8.91%,16.91%,66.60%,3366.67,2932.72,"18,936.00","18,525.00",Communication Services
126,ATEC,11.74,13.92,19.36,10.31,1.21M,982.72k,48.60%,1.61%,10.63%,-3.23%,-21.87%,-15.59%,20.30,11.91,-43.03,-38.20,Healthcare
127,REVE,10.01,10.01,10.10,9.83,730,29.71k,,,,,,,,,,,Financial Services
128,AEI,1.3754,4.2724,29.4900,0.5330,2.43M,2.43M,3.04%,-3.94%,-60.75%,-75.92%,-89.91%,-89.49%,-,0.6,-7.11,-66.65,Real Estate
129,AEAEU,10.09,10.09,10.20,10.02,6.67k,276.52k,,,,,,,,,,,Financial Services
130,ALTR,75.61,70.05,82.96,54.64,205.8k,202.63k,99.68%,2.24%,-1.29%,8.02%,7.93%,28.34%,86.29,75.03,-8.11,-13.65,Technology
131,CYTO,1.6376,2.6985,6.2500,1.2100,2.76M,4.07M,,60.16%,19.88%,-1.91%,-42.58%,-24.07%,-,1.85,-6.75,-5.54,Healthcare
132,ALT,10.35,12.32,24.61,8.10,888.68k,773.12k,64.74%,-5.31%,-14.91%,-31.58%,-11.37%,-20.64%,31.67,9.17,-33.51,-24.83,Healthcare
133,ASPS,12.08,9.52,14.58,5.61,36.55k,77.9k,46.31%,2.46%,5.93%,14.10%,26.55%,-15.29%,18.00,11.22,-18.27,-18.48,Financial Services
134,ALTO,5.2326,5.3891,8.3400,4.3900,1.5M,1.63M,60.25%,-2.83%,-9.60%,0.84%,-21.44%,-16.52%,11.33,4.87,-3.13,8.39,Basic Materials
135,KAACW,,,,,,,,,,,,,,,,,
136,ALTM,65.44,65.15,91.00,45.55,42.44k,66.78k,42.03%,-5.06%,-1.83%,-9.05%,-9.60%,31.02%,70.00,61.36,5.24,11.66,Energy
137,AMZN,"3,457.60","3,382.30","3,773.08","2,881.00",2.88M,3.22M,59.71%,-0.71%,-4.99%,2.51%,-1.63%,1.87%,4110.76,3404.32,"3,156.00","7,778.00",Consumer Cyclical
138,AMBA,191.71,130.85,227.59,82.59,731.62k,749.96k,82.24%,4.58%,12.60%,32.34%,92.03%,129.22%,218.00,205.22,0.76,-7.16,Technology
139,AMCP,,,,,,,,,,,,,,,,,
140,AMED,163.83,213.71,325.12,133.62,355.53k,433.9k,90.54%,3.22%,12.89%,8.93%,-33.28%,-43.43%,204.07,166.28,45.01,80.15,Healthcare
141,AMTBB,25.23,19.53,29.05,11.26,2.85k,18.43k,14.02%,,,,,,,,,,
142,UHAL,726.78,641.48,769.90,439.70,41.02k,43.2k,38.14%,1.48%,0.55%,9.15%,22.54%,61.48%,875.00,722.43,409.90,345.18,Industrials
143,ASRV,3.8668,3.9444,5.3400,3.0500,4.4k,12.32k,43.60%,-0.26%,0.79%,-0.52%,-2.04%,19.94%,-,3.85,17.11,17.13,Financial Services
144,AAL,18.93,20.87,26.09,14.71,34.58M,34.51M,56.37%,-0.39%,1.75%,-14.09%,-14.90%,13.81%,19.11,18.28,169.00,19.00,Industrials
145,ACAS,,,,,,,,,,,,,,,,,
146,AEOS,,,,,,,,,,,,,,,,,
147,AMIC,,,,,,,,,,,,,,,,,
148,AMGI,,,,,,,,,,,,,,,,,
149,ANAT,189.13,163.74,195.89,88.38,225.54k,89.92k,96.37%,0.36%,-0.38%,-0.67%,26.96%,97.86%,-,188.45,51.05,227.98,Financial Services
150,AOUT,22.14,26.64,36.62,16.40,182.46k,155.39k,68.69%,3.79%,-16.72%,-24.82%,-45.45%,14.04%,32.25,19.5,4.58,3.46,Consumer Cyclical
151,ACAP,,,,,,,,,,,,,,,,,
152,AMRB,,,,,,,,,,,,,,,,,
153,AMSWA,26.77,23.41,33.27,16.31,113.77k,117.29k,115.21%,2.08%,12.66%,8.47%,18.35%,54.61%,33.67,26.19,3.31,2.95,Technology
154,ATCO,14.03,14.10,16.49,10.44,409.8k,536.35k,57.72%,2.25%,1.52%,-7.86%,-1.33%,34.93%,18.25,14.17,94.60,66.00,Financial Services
155,AMWD,67.84,79.29,108.81,56.29,209.77k,132.55k,96.52%,3.99%,2.87%,-3.74%,-20.95%,-30.47%,80.91,64.79,2.03,2.98,Consumer Cyclical
156,ASCA,,,,,,,,,,,,,,,,,
157,ATLO,24.33,24.42,27.90,22.05,20.12k,16.08k,22.57%,3.08%,-0.37%,5.17%,-0.33%,2.22%,-,24.39,9.12,9.13,Financial Services
158,AMGN,211.22,230.06,276.69,198.64,3.11M,2.89M,77.17%,3.02%,11.86%,5.91%,-6.63%,0.32%,240.24,228.35,"1,884.00",464.00,Healthcare
159,FOLD,11.16,10.34,24.84,8.60,2.18M,2.25M,105.38%,2.31%,10.66%,23.60%,23.86%,-47.31%,17.11,12.09,-50.29,-51.23,Healthcare
160,AMKR,23.04,23.63,29.50,14.82,817.08k,991.21k,39.94%,9.78%,10.66%,-1.43%,4.82%,67.64%,27.00,24.74,180.85,125.81,Technology
161,AMPG,3.8662,4.7491,19.8000,3.1690,259.22k,502.92k,8.69%,-4.47%,3.22%,6.35%,-16.85%,16.67%,10.00,3.88,-0.59,-0.47,Technology
162,AMSG,,,,,,,,,,,,,,,,,
163,AMRS,8.69,13.32,23.42,4.79,7.32M,6.14M,41.91%,-8.42%,-21.86%,-61.50%,-68.11%,-6.45%,20.83,5.53,-32.94,15.38,Basic Materials
164,ALOG,,,,,,,,,,,,,,,,,
165,ANEN,,,,,,,,,,,,,,,,,
166,ABCW,,,,,,,,,,,,,,,,,
167,ANDE,35.81,31.12,39.71,22.45,254.84k,169.65k,79.45%,2.82%,11.29%,24.57%,27.87%,62.67%,44.50,39.13,15.74,43.50,Consumer Defensive
168,ANEB,6.61,6.98,9.33,4.40,3.82k,4.88k,14.36%,-5.53%,-7.66%,-12.14%,-19.40%,-,15.00,6.14,-1.55,-29.11,Healthcare
169,ANGO,27.86,25.99,32.00,14.96,295.49k,211.39k,97.55%,6.00%,5.92%,20.93%,4.13%,101.43%,34.50,28.46,-6.97,-19.47,Healthcare
170,ANIK,39.93,41.06,48.37,32.30,128.83k,78.88k,94.02%,-1.50%,-6.54%,-10.79%,-14.78%,-13.93%,52.00,36.77,0.56,6.53,Healthcare
171,ANOR,,,,,,,,,,,,,,,,,
172,ATRS,3.4972,3.8883,5.0700,3.1100,845.29k,677.89k,50.36%,1.14%,9.57%,-3.01%,-18.58%,-9.67%,6.33,3.64,4.42,3.79,Healthcare
173,ATEX,60.66,55.91,66.55,32.10,89.49k,77.21k,96.05%,1.42%,-2.62%,-1.82%,-2.23%,50.19%,76.20,58.84,-12.02,-11.95,Communication Services
174,ADALU,10.08,10.08,10.15,10.02,73.74k,441.48k,,-0.30%,-0.69%,-,-,-,-,10.13,,,Financial Services
175,APLS,40.42,48.71,73.00,27.50,808.29k,1.08M,76.67%,-1.56%,10.34%,39.38%,-25.17%,-13.94%,69.82,48.91,-195.57,-219.19,Healthcare
176,APHA,,,,,,,,,,,,,,,,,
177,APOG,44.71,40.37,49.58,29.79,196.72k,116.21k,95.11%,5.00%,4.86%,26.45%,18.56%,51.52%,47.25,48.73,11.06,-2.12,Industrials
178,APEN,8.72,7.93,10.39,3.32,316.86k,279.57k,53.60%,-2.99%,-3.83%,-15.60%,-3.83%,127.11%,13.33,7.83,,,Healthcare
179,AINV,13.11,13.70,15.27,10.40,823.79k,383.62k,32.83%,5.00%,-0.37%,-0.14%,-3.81%,24.24%,13.86,13.09,25.44,32.14,Financial Services
180,APPH,5.2831,10.9482,42.9000,3.9600,1.43M,1.58M,52.12%,-13.29%,-21.34%,-37.91%,-75.12%,-73.48%,12.33,4.09,-17.27,-32.02,Consumer Defensive
181,AAPL,160.94,143.40,182.13,116.21,105.21M,89.94M,58.81%,3.69%,11.94%,25.59%,30.97%,33.00%,174.93,179.96,"20,551.00","21,744.00",Technology
182,APDN,5.2312,5.9576,13.6400,4.1100,156.97k,730.23k,26.68%,-14.23%,-30.36%,-21.42%,-37.85%,-19.92%,16.67,4.3,-4.51,-3.45,Healthcare
183,AGTC,2.3436,3.4885,9.6700,1.8400,503.82k,633.01k,44.66%,-0.53%,-17.18%,-38.96%,-51.92%,-54.37%,16.00,2.01,-17.12,-12.14,Healthcare
184,AMCCD,,,,,,,,,,,,,,,,,
185,AAOI,6.27,7.36,13.95,5.20,459.54k,672.37k,49.04%,-3.11%,-10.92%,-24.72%,-37.43%,-39.77%,15.36,5.27,-15.80,-8.20,Technology
186,APLT,12.39,16.68,29.80,8.52,107.27k,91.26k,71.70%,-12.21%,-18.65%,-41.92%,-57.80%,-59.75%,42.60,9.12,-28.42,-25.83,Healthcare
187,AREX,,,,,,,,,,,,,,,,,
188,APRE,4.2728,4.5844,8.4600,2.7880,720.92k,1.13M,35.22%,-13.77%,-28.18%,-43.42%,-40.98%,-42.97%,4.33,3.0,-9.45,-10.25,Healthcare
189,APVO,11.09,19.21,43.21,6.38,313.95k,3.54M,21.07%,-3.38%,-26.69%,-48.57%,-65.58%,-77.85%,52.50,8.01,-7.00,-7.93,Healthcare
190,APM,2.0643,2.5763,4.9400,1.5500,120.75k,124.56k,1.71%,-5.78%,-11.41%,-34.80%,-48.98%,-29.44%,15.00,1.63,-16.08,13.27,Healthcare
191,APYX,14.16,11.40,17.50,6.71,62.65k,73.17k,55.12%,-3.19%,-6.60%,-10.82%,20.76%,76.10%,18.75,12.84,-4.22,-4.05,Healthcare
192,AQB,3.1010,4.6968,13.3200,2.0700,942.34k,1.27M,56.31%,-8.26%,-19.47%,-45.90%,-60.63%,-77.53%,7.38,2.24,-6.86,-5.23,Consumer Defensive
193,AQST,5.3240,4.3416,6.9970,3.1000,1.58M,736.77k,45.77%,-12.73%,-36.84%,-12.93%,-3.27%,-30.81%,15.00,3.98,-14.55,-12.37,Healthcare
194,VSAR,,,,,,,,,,,,,,,,,
195,ARBE,10.47,10.06,17.27,7.80,95.01k,211.74k,9.07%,-16.79%,-11.19%,-11.01%,-10.39%,-10.48%,16.50,9.12,1.66,-1.58,Technology
196,ARCK,9.92,9.92,10.00,9.84,6.1k,6.1k,5.46%,1.52%,-,-,-,-,-,10.0,,,Financial Services
197,ABUS,3.8246,3.4348,6.5000,2.4300,4.73M,9.86M,29.80%,-12.35%,19.75%,-11.94%,24.09%,7.43%,6.30,3.9,-19.16,-19.39,Healthcare
198,ACTC,,,,,,,,,,,,,,,,,
199,RKDA,1.5485,2.2709,6.4000,0.9720,542.64k,371.09k,14.29%,-7.41%,-26.47%,-51.92%,-66.33%,-59.51%,5.75,1.04,-2.17,-5.26,Basic Materials
200,ATSPT,9.85,9.79,10.00,4.50,82.45k,59.36k,,-0.51%,-0.30%,1.03%,-,-,-,9.85,-0.19,-0.07,
201,ARCE,19.25,24.80,41.59,15.90,267.38k,259.06k,107.10%,3.89%,9.47%,0.66%,-30.27%,-39.83%,31.94,21.16,-144.06,-20.02,Consumer Defensive
202,ARCT,40.13,40.05,89.18,24.87,1.01M,598.04k,74.80%,-17.74%,2.83%,-16.96%,14.72%,-8.36%,85.45,39.91,-54.08,-54.58,Healthcare
203,ARDNA,,,,,,,,,,,,,,,,,
204,AFACU,10.11,10.11,10.20,10.00,4.41k,322.93k,,,,,,,,,,,Financial Services
205,ARBKL,24.53,24.53,25.05,22.60,20.77k,23.73k,,,,,,,,,,,
206,ARHS,10.90,10.90,14.37,7.62,487.56k,685.87k,,21.38%,32.08%,-,-,-,15.12,13.26,14.38,,Consumer Cyclical
207,ARBA,,,,,,,,,,,,,,,,,
208,RAM,9.98,9.91,10.20,9.65,106.56k,76.28k,8.65%,0.00%,-0.10%,0.60%,-,-,-,9.99,,,Financial Services
209,ARIZ,9.73,9.73,9.82,9.70,6.55k,99.98k,,,,,,,,,,,Financial Services
210,ARKR,16.69,17.81,24.66,14.39,5.1k,5.25k,17.91%,-0.52%,5.39%,9.28%,-12.35%,-6.99%,-,16.99,6.83,2.67,Consumer Cyclical
211,ARMO,,,,,,,,,,,,,,,,,
212,ARWA,,,,,,,,,,,,,,,,,
213,ARRY,19.96,19.66,54.78,12.72,2.79M,2.89M,110.97%,-3.02%,-31.07%,-10.76%,0.96%,-62.89%,26.36,16.2,-25.55,-0.02,Technology
214,ARVL,11.37,14.56,31.97,6.87,2.68M,3.48M,10.14%,2.46%,-18.12%,-40.12%,-49.52%,-72.72%,17.17,7.81,-26.39,-38.67,Consumer Cyclical
215,ARWR,70.32,69.12,93.66,57.92,685.82k,617.12k,65.67%,-4.75%,-6.18%,10.13%,-19.38%,-14.44%,88.17,68.92,-63.37,-29.92,Healthcare
216,ASNS,,,,,,,,,,,,,,,,,
217,ARTL,0.7349,1.0265,3.6700,0.5120,668.98k,8.31M,22.33%,-12.10%,-20.63%,-32.78%,-55.88%,-17.92%,4.67,0.55,,,Healthcare
218,AIP,22.77,22.77,27.57,15.10,185.24k,236.29k,,4.37%,-21.27%,-,-,-,30.20,21.03,,,Technology
219,ARTAU,10.17,10.05,10.56,9.58,7.35k,38.95k,10.00%,,,,,,,,,,Financial Services
220,ARVN,80.79,78.91,108.47,56.59,479.15k,400.86k,88.12%,2.36%,5.34%,-3.22%,3.78%,-0.81%,129.53,82.83,-46.75,-50.29,Healthcare
221,ASBP,,,,,,,,,,,,,,,,,
222,AMGIA,,,,,,,,,,,,,,,,,
223,ASTSF,,,,,,,,,,,,,,,,,
224,ASIA,,,,,,,,,,,,,,,,,
225,ASPU,3.7853,5.3669,11.3700,1.8500,878.44k,257.28k,58.06%,13.24%,-26.67%,-56.74%,-64.57%,-78.52%,5.92,2.45,-2.85,-0.87,Consumer Defensive
226,AIOFX,,,,,,,,,,,,,,,,,
227,ASRT,1.4448,1.5596,5.8000,0.8500,1.82M,1.27M,19.73%,-16.09%,32.19%,111.92%,23.72%,34.97%,4.00,2.19,3.74,-14.17,Healthcare
228,ASFI,,,,,,,,,,,,,,,,,
229,ASTR,9.48,10.15,22.47,6.53,5.08M,4.85M,5.07%,-18.70%,-40.45%,-23.14%,-46.48%,-34.49%,11.00,6.58,-16.25,-31.30,Industrials
230,ATXS,6.38,10.22,47.82,4.81,47.6k,52.56k,58.60%,-9.45%,-19.66%,-39.98%,-58.37%,-58.96%,22.80,5.38,-7.87,-7.47,Healthcare
231,ATRO,12.28,15.25,20.93,9.94,250.59k,148.47k,77.78%,7.29%,13.44%,-15.18%,-31.07%,-5.33%,17.05,12.14,-7.17,-8.10,Industrials
232,ASUR,8.74,8.54,9.94,7.05,28.4k,44.82k,74.19%,-5.56%,-10.11%,-14.14%,-13.75%,4.37%,13.72,7.67,5.33,3.76,Technology
233,ATER,5.6536,12.7668,48.9900,3.0400,3.14M,7.02M,26.22%,-12.81%,-26.59%,-61.75%,-73.96%,-77.40%,12.40,4.09,-110.56,-36.31,Consumer Cyclical
234,ATNX,1.9802,3.5078,15.0000,1.3400,898.91k,1.08M,49.04%,-8.39%,-20.22%,-52.19%,-69.26%,-87.23%,7.50,1.5,-36.06,-34.27,Healthcare
